battle_id,bucket,reasons_str,n_snaps,n_minutes,win_camp,has_finished_status,n_json_total,n_json_live,n_json_backfill,n_json_bad,max_backward_jump_sec,minute_min,minute_max
736117264_42_1777216972,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,2,True,2,0,2,0,0.0,15,15
736117264_43_1777218912,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,1,True,2,0,2,0,0.0,10,10
736117264_44_1777220644,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,2,True,2,0,2,0,0.0,17,17
736117264_45_1777222317,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,1,True,2,0,2,0,0.0,13,13
736117264_48_1777262688,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,2,True,2,0,2,0,0.0,12,12
736117264_49_1777264603,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,1,True,2,0,2,0,0.0,14,14
736117264_50_1777266554,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,1,True,2,0,2,0,0.0,15,15
736117264_51_1777270365,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,2,True,2,0,2,0,0.0,14,14
736117264_52_1777272165,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,1,True,1,0,1,0,0.0,19,19
736117264_53_1777274294,quarantine,too_few_snaps:1<5;too_few_minutes:1<8;backfill_only;shallow_or_empty,1,1,2,True,1,0,1,0,0.0,15,15
836780560_13_1781939308,quarantine,missing_win_camp,28,15,0,False,49,49,0,0,0.0,1,15
836780560_14_1781941238,quarantine,too_few_snaps:3<5;too_few_minutes:2<8,3,2,2,True,42,42,0,0,0.0,1,12
836780560_15_1781942669,quarantine,missing_win_camp,24,11,0,False,39,39,0,0,0.0,1,11
836780560_19_1782390661,quarantine,too_few_snaps:2<5;too_few_minutes:2<8,2,2,1,True,2,2,0,0,0.0,13,14
836780560_20_1782392433,quarantine,missing_win_camp;too_few_minutes:7<8,7,7,0,False,10,10,0,0,0.0,1,14
836780560_22_1782626492,quarantine,missing_win_camp,22,13,0,False,26,26,0,0,0.0,1,13
836780560_24_1782630309,quarantine,missing_win_camp,29,16,0,False,40,40,0,0,0.0,1,17
970998288_17_1782651691,quarantine,missing_win_camp;too_few_minutes:6<8,12,6,0,False,16,16,0,0,0.0,2,10
